name,link_id,from_node_id,to_node_id,direction,length,number_of_lanes,speed_limit,lane_cap,link_type,link_type_name,jam_density,wave_speed,demand_type_code,count_sensor_id,speed_sensor_id,geometry,
Shore Drive,0,1,13,1,0.10000,3,45.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>-0.002841,-0.000000,0.0 -0.002841,-0.100000,0.0</coordinates></LineString>",
Shore Drive,0,13,1,1,0.10000,3,45.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>0.002841,-0.100000,0.0 0.002841,0.000000,0.0</coordinates></LineString>",
Shore Drive,0,13,14,1,0.25000,3,45.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>-0.001705,-0.102273,0.0 0.198295,-0.252273,0.0</coordinates></LineString>",
Shore Drive,0,14,13,1,0.25000,3,45.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>0.201705,-0.247727,0.0 0.001705,-0.097727,0.0</coordinates></LineString>",
Shore Drive,0,14,15,1,0.40000,3,45.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>0.200000,-0.252841,0.0 0.600000,-0.252841,0.0</coordinates></LineString>",
Shore Drive,0,15,14,1,0.40000,3,45.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>0.600000,-0.247159,0.0 0.200000,-0.247159,0.0</coordinates></LineString>",
Shore Drive,0,15,4,1,0.18028,3,45.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>0.602364,-0.251576,0.0 0.702364,-0.101576,0.0</coordinates></LineString>",
Shore Drive,0,4,15,1,0.18028,3,45.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>0.697636,-0.098424,0.0 0.597636,-0.248424,0.0</coordinates></LineString>",
Shore Drive,0,4,7,1,0.13038,3,45.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>0.700000,-0.100000,0.0 0.810000,-0.030000,0.0</coordinates></LineString>",
Shore Drive,0,7,8,1,0.09487,5,45.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>0.810000,-0.030000,0.0 0.900000,0.000000,0.0</coordinates></LineString>",
Shore Drive,0,8,6,1,0.09000,5,45.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>0.900000,0.000000,0.0 0.810000,0.000000,0.0</coordinates></LineString>",
Shore Drive,0,6,5,1,0.07159,3,45.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>0.810000,0.000000,0.0 0.745000,-0.030000,0.0</coordinates></LineString>",
Shore Drive,0,5,4,1,0.08322,3,45.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>0.745000,-0.030000,0.0 0.700000,-0.100000,0.0</coordinates></LineString>",
Shore Drive,0,8,9,1,0.21458,5,45.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>0.900000,-0.002841,0.0 1.114584,-0.002841,0.0</coordinates></LineString>",
Shore Drive,0,9,8,1,0.21458,5,45.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>1.114584,0.002841,0.0 0.900000,0.002841,0.0</coordinates></LineString>",
Shore Drive,0,9,10,1,0.06602,3,45.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>1.114584,-0.002841,0.0 1.180605,-0.002841,0.0</coordinates></LineString>",
Shore Drive,0,10,9,1,0.06602,3,45.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>1.180605,0.002841,0.0 1.114584,0.002841,0.0</coordinates></LineString>",
Shore Drive,0,10,11,1,0.06214,3,45.0000,1000.0000,3,Principal arterial,180.0,12.0,,,"","<LineString><coordinates>1.180605,-0.002841,0.0 1.242742,-0.002841,0.0</coordinates></LineString>",
